               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.035705,            0.040373,            0.018407,             0.28839,             0.33203,             0.29675,             0.18671,            0.042948,            0.029211,            0.064379,           0.0029996,           0.0029996,           0.0029996
                  79,            0.034841,            0.040426,            0.017873,             0.28888,             0.39551,             0.31424,             0.19579,            0.043901,            0.031049,            0.060849,           0.0029179,           0.0029179,           0.0029179
                  80,            0.035471,            0.039682,            0.018505,             0.32628,             0.33446,             0.30964,             0.19393,            0.044664,            0.031663,            0.057237,           0.0028394,           0.0028394,           0.0028394
                  81,            0.034777,            0.039117,            0.016979,             0.35711,             0.29338,             0.29893,             0.18762,            0.045632,            0.031147,            0.065925,           0.0027639,           0.0027639,           0.0027639
                  82,               0.034,            0.038978,            0.017259,             0.27013,             0.37399,             0.30772,             0.19399,            0.043814,            0.031831,            0.063548,           0.0026917,           0.0026917,           0.0026917
                  83,             0.03432,            0.039453,            0.015965,             0.31377,             0.38687,             0.31401,             0.19817,            0.044266,            0.030821,            0.063195,           0.0026227,           0.0026227,           0.0026227
                  84,             0.03417,            0.037923,            0.016993,             0.34773,             0.35715,             0.32335,             0.20738,            0.044453,            0.030845,            0.056652,            0.002557,            0.002557,            0.002557
                  85,            0.033766,             0.03734,            0.017016,             0.29116,             0.38445,             0.30112,             0.18462,            0.044135,            0.031144,            0.061942,           0.0024948,           0.0024948,           0.0024948
                  86,            0.034102,            0.039322,            0.017705,             0.31372,             0.32085,             0.30719,             0.18973,             0.04434,            0.031407,             0.06038,            0.002436,            0.002436,            0.002436
                  87,            0.033635,            0.038861,            0.016945,             0.31108,             0.33483,             0.30657,             0.18924,            0.043388,            0.031853,            0.061522,           0.0023807,           0.0023807,           0.0023807
